variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
primary_traceable,target_native__harmonized_dynamic_vitals,auroc,0.6293412756816962,0.5924458204577072,0.6548735228417255,1000,1000
primary_traceable,target_native__harmonized_dynamic_vitals,auprc,0.4791114449573424,0.40471701424325757,0.5282232076899185,1000,1000
primary_traceable,target_native__harmonized_dynamic_vitals,brier,0.21594578874149586,0.19722170779157966,0.22955312238712397,1000,1000
primary_traceable,target_native__harmonized_dynamic_vitals,calibration_intercept,-0.1469664634598125,-0.4167947089494907,0.004617527111436802,999,1000
primary_traceable,target_native__harmonized_dynamic_vitals,calibration_slope,0.866414080283694,0.6487327146139696,1.0345029426831465,999,1000
primary_traceable,target_native__harmonized_dynamic_vitals,mean_predicted_risk,0.36609235936074136,0.34556806251964284,0.3817729152577425,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,auroc,0.4648083692993098,0.42103387657968505,0.49352233525913825,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,auprc,0.3244941538376069,0.24702856744258458,0.38590412063688223,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,brier,0.2411856861398442,0.22816264658645405,0.25165077549210757,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,calibration_intercept,-0.6420658044970687,-1.078206033784658,-0.3843553550871358,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,calibration_slope,-0.030730963525198454,-0.334164960789685,0.11513890476500867,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,mean_predicted_risk,0.3750274652252094,0.3681011860673135,0.38149935236726795,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,auroc,0.5059120109787387,0.45746732812626073,0.5339725819167738,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,auprc,0.36639934028789073,0.28301792823252714,0.42565720440458826,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,brier,0.2373283827353626,0.21849616950477338,0.2514108046206084,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,calibration_intercept,-0.5698045152827346,-1.0074763332659815,-0.3273848804909525,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,calibration_slope,0.07628817747606342,-0.1751910786210039,0.2154448385726052,1000,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,mean_predicted_risk,0.34765478976225767,0.33081285004261285,0.3580790374353349,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,auroc,0.4672815688458402,0.42440362542996535,0.49575905940448833,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,auprc,0.32629459762521573,0.24900423719164638,0.3876779647622646,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,brier,0.24099617523223202,0.22825897241674048,0.2512882704631436,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,calibration_intercept,-0.6379834905565518,-1.068024342929597,-0.38251782295025694,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,calibration_slope,-0.024282052988378617,-0.3199501935903883,0.1214725479381004,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,mean_predicted_risk,0.37766980560095126,0.3707896165877826,0.3840222719945441,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,auroc,0.5072246862507209,0.46007699529406715,0.5356382061234315,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,auprc,0.3671595144143049,0.28431921800667687,0.42657769421939035,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,brier,0.2368778521702265,0.21841455999813272,0.25061291596588603,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,calibration_intercept,-0.5643404915987179,-0.9940849670864699,-0.3253489616475742,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,calibration_slope,0.0868072104648065,-0.15702121656663917,0.2269791861222121,1000,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,mean_predicted_risk,0.35188329045615807,0.3348812969865217,0.3623655655468825,1000,1000
