artifact,variant,model,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,reference
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,mean_predicted_risk,0.3428627006595776,0.3428333467377604,-2.9353921817187878e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,auroc,0.5041090713816901,0.5043099504763421,0.0002008790946519401,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,auprc,0.3407059559518404,0.3405910882600007,-0.00011486769183971512,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,brier,0.5204650242869222,0.5206762900016036,0.00021126571468144117,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,calibration_intercept,-0.7946795324726651,-0.7944276166185825,0.0002519158540825739,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,calibration_slope,0.047533198910344,0.0472488070597997,-0.00028439185054430355,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_raw,mean_predicted_risk,0.8273023452013536,0.8274521171853949,0.00014977198404131364,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,auroc,0.5059120109787387,0.5043467451619961,-0.0015652658167426559,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,auprc,0.3663993402878907,0.3650351568934107,-0.0013641833944799675,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,brier,0.2373283827353626,0.2377817685454686,0.0004533858101059829,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,calibration_intercept,-0.5698045152827346,-0.5711751339076394,-0.0013706186249048402,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,calibration_slope,0.0762881774760634,0.0743457170140915,-0.0019424604619718983,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,mean_predicted_risk,0.3476547897622576,0.3480725402980792,0.0004177505358216038,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,auroc,0.4648083692993098,0.463879552099286,-0.0009288172000238015,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,auprc,0.3244941538376069,0.3232324996670076,-0.0012616541705992579,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,brier,0.2411856861398442,0.2413251834970612,0.0001394973572169944,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,calibration_intercept,-0.6420658044970687,-0.6415824095157869,0.0004833949812818039,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,calibration_slope,-0.0307309635251984,-0.0296388133052848,0.0010921502199135978,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_primary__harmonized_last_values,mean_predicted_risk,0.3750274652252094,0.3741654965699533,-0.0008619686552561179,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,auroc,0.5072246862507209,0.504455140317031,-0.002769545933689943,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,auprc,0.3671595144143049,0.3647840003476608,-0.002375514066644102,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,brier,0.2368778521702265,0.2376149622782679,0.0007371101080413944,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,calibration_intercept,-0.5643404915987179,-0.5704531870980963,-0.006112695499378429,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,calibration_slope,0.0868072104648065,0.0782755870520348,-0.008531623412771694,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,mean_predicted_risk,0.351883290456158,0.353434131423359,0.0015508409672009837,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,auroc,0.4672815688458402,0.4661807116291096,-0.0011008572167305886,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,auprc,0.3262945976252157,0.3248974007814225,-0.0013971968437931914,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,source_trained__corrected_strict__harmonized_last_values,brier,0.240996175232232,0.2412791121040593,0.0002829368718273162,1e-10,DIFFERENCE,,
