artifact,analysis,model,outcome,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,comparison,threshold
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,brier,0.0372588389313944,0.0371403907105348,-0.0001184482208596016,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,calibration_intercept,0.2037168868566522,0.3373352383539921,0.1336183514973399,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,calibration_slope,1.056832184359461,1.0641958927874884,0.00736370842802736,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,multiclass_log_loss,0.7165330758412752,0.725209258894877,0.008676183053601738,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,multiclass_brier,0.475872432152756,0.4842870461833068,0.008414614030550827,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,test_events,231.0,231.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,prevalence,0.3352685050798258,0.3352685050798258,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,auroc,0.6888788067827369,0.6646533960944442,-0.02422541068829276,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,auprc,0.4623237120982833,0.4386154560830977,-0.023708256015185614,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,brier,0.21327091118592,0.218725582595603,0.005454671409683004,1e-10,DIFFERENCE,,,
