database,variable,variable_label,unit,window,comparison,first_group,second_group,first_group_n,second_group_n,first_observed_n,second_observed_n,standardized_difference
eICU,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,199,4049,-1.0333754797787893
eICU,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2420,199,0.8270394305379609
eICU,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2446,4104,-0.23873752176079827
eICU,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,203,4104,-0.9250405595678
eICU,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2446,203,0.717688552686147
eICU,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2438,4082,0.03115620187145971
eICU,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,200,4082,0.49402318643515686
eICU,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2438,200,-0.4564733674396296
eICU,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2447,4104,0.02087908985696444
eICU,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,204,4104,0.6191743581617166
eICU,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2447,204,-0.5873828948385555
eICU,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,781,1033,-0.040257753469368156
eICU,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,52,1033,0.4567535102158512
eICU,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,781,52,-1.1212807013824595
eICU,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,1068,1755,-0.02987478253492183
eICU,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,83,1755,0.2148644735808795
eICU,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,1068,83,-0.33897189842703
eICU,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,1068,1755,0.11703980346930744
eICU,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,83,1755,0.9116657252540018
eICU,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,1068,83,-0.847529004420684
