omitted_hospital_label,model,auroc,auprc,brier,event_rate,mean_predicted_risk
H-9DC013,source_only,0.5084075526242904,0.33952810717566717,0.5193842946830952,0.3438735177865613,0.8194129980876544
H-9DC013,target_native,0.6297528475972856,0.46131051153135894,0.21499495759950074,0.3438735177865613,0.3546774505956197
H-8A82A0,source_only,0.504905586160695,0.34043917494994835,0.5194957484165744,0.3474698795180723,0.822977610625966
H-8A82A0,target_native,0.6336165304629833,0.47162578385871423,0.21501339584843476,0.3474698795180723,0.354941140828727
H-42FBFC,source_only,0.5044554090875617,0.3416050769269711,0.5194769470290925,0.3490252020922492,0.8251390507726177
H-42FBFC,target_native,0.6324073539626968,0.47265213687397156,0.21562682928176027,0.3490252020922492,0.35551949826418694
H-AB88F9,source_only,0.5077385077385077,0.34742913615586535,0.5112581060088506,0.3515272909364046,0.8170465871970427
H-AB88F9,target_native,0.6321596321596321,0.4692313633479576,0.21651721330129273,0.3515272909364046,0.35502666254163096
H-052624,source_only,0.5065957538932268,0.3410682093093075,0.5197530496255566,0.347027549540841,0.822737706083111
H-052624,target_native,0.630475929312652,0.4690192437223585,0.21540665007439916,0.347027549540841,0.3540167735293523
H-E7E6D6,source_only,0.5047659354119158,0.3413785592935011,0.5199413236873904,0.3485496909177366,0.8251474058646053
H-E7E6D6,target_native,0.6321406877047631,0.47208968283182773,0.21554091509693793,0.3485496909177366,0.3554527749958577
H-F725EF,source_only,0.5026229247947527,0.33809376506669553,0.5212033422866867,0.34685114503816794,0.8245686672329248
H-F725EF,target_native,0.631870168990508,0.4703744772228728,0.21515708382988474,0.34685114503816794,0.35535449007551834
H-E7818E,source_only,0.5046447534715477,0.3413720420761389,0.5195543494638324,0.3485932284215546,0.8246768514703458
H-E7818E,target_native,0.6317385478485718,0.47033953838147596,0.2157175272369746,0.3485932284215546,0.35536855521579913
H-8D8539,source_only,0.5046162167880391,0.3416913425534748,0.5192824806921146,0.34904761904761905,0.8249023117846517
H-8D8539,target_native,0.6325649119620443,0.47278094901195844,0.2156045938139177,0.34904761904761905,0.3553589447241132
H-5F5CAB,source_only,0.5044357601542457,0.3417435478507423,0.5193737123276471,0.3491912464319695,0.8251237674489711
H-5F5CAB,target_native,0.6326595041190624,0.47297451164610754,0.21562816803387438,0.3491912464319695,0.35546827213137483
H-0AC37C,source_only,0.5039062030865309,0.3414414228864691,0.5208135997760756,0.3490701001430615,0.8268320819422391
H-0AC37C,target_native,0.6330020616905863,0.4735681444205883,0.2155016321470266,0.3490701001430615,0.3551458819932881
H-BD0575,source_only,0.5047684386284472,0.34138419097496886,0.5201889691216278,0.3485714285714286,0.8259205679725965
H-BD0575,target_native,0.6328282283577797,0.47213105817988743,0.21546568693775195,0.3485714285714286,0.3553840127680271
H-84F1B9,source_only,0.5034578574249684,0.34160897295855236,0.5204208756275154,0.3495238095238095,0.8260825368791502
H-84F1B9,target_native,0.6329933655415082,0.4734281901440877,0.21566856602531728,0.3495238095238095,0.3554096812069086
H-B024AB,source_only,0.4990352295797248,0.3413129677915596,0.5289572342221995,0.3514173998044966,0.8393295883131414
H-B024AB,target_native,0.6400300593325947,0.4915553100614099,0.21428781697345092,0.3514173998044966,0.35316090868135136
H-4138CA,source_only,0.5008206086197629,0.34146971920433933,0.5243937894524267,0.3506994693680656,0.8322511893450328
H-4138CA,target_native,0.6323530313466361,0.4727811896609908,0.21617295497141692,0.3506994693680656,0.355402475453133
H-06A009,source_only,0.5048199147253537,0.34060154547258514,0.5200599353213429,0.3479295573536411,0.8255663117968832
H-06A009,target_native,0.6316075369207266,0.4711991087294266,0.21546400193827928,0.3479295573536411,0.35535621433337167
