variant,partition,status,included,n
primary_traceable,adaptation_development,recorded_restart_first,True,1246
primary_traceable,locked_evaluation,indeterminate_death_or_discharge_proxy_conflict,False,100
primary_traceable,locked_evaluation,indeterminate_missing_hospital_status,False,25
primary_traceable,locked_evaluation,indeterminate_observation,False,369
primary_traceable,locked_evaluation,invalid_death_proxy_equal_origin,False,3
primary_traceable,locked_evaluation,invalid_or_indeterminate_restart_source,False,1
primary_traceable,locked_evaluation,invalid_origin_outside_unit,False,20
primary_traceable,locked_evaluation,no_recorded_restart_or_death_proxy_under_observation,True,1314
primary_traceable,locked_evaluation,recorded_death_proxy_first,True,56
primary_traceable,locked_evaluation,recorded_restart_first,True,734
primary_traceable,recalibration,indeterminate_death_or_discharge_proxy_conflict,False,52
primary_traceable,recalibration,indeterminate_missing_hospital_status,False,29
primary_traceable,recalibration,indeterminate_observation,False,273
primary_traceable,recalibration,invalid_alive_discharge_before_origin,False,1
primary_traceable,recalibration,invalid_death_proxy_before_origin,False,1
primary_traceable,recalibration,invalid_death_proxy_equal_origin,False,3
primary_traceable,recalibration,invalid_origin_outside_unit,False,17
primary_traceable,recalibration,no_recorded_restart_or_death_proxy_under_observation,True,854
primary_traceable,recalibration,recorded_death_proxy_first,True,47
primary_traceable,recalibration,recorded_restart_first,True,477
